,Title,genres
0,When You Are Engulfed in Flames,Humor
1,Slaughterhouse-Five,"Fiction,Classics,Science Fiction"
2,Crow Mary,Historical Fiction
3,"The Six Deaths of the Saint (Into Shadow, #3)","Horror,Historical Fiction"
4,The Offing,"Poetry,Travel"
5,The Lost Continent: Travels in Small-Town America,Travel
6,The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction
7,Into Thin Air: A Personal Account of the Mount Everest Disaster,"Nonfiction,Travel"
8,"The Road Less Traveled: A New Psychology of Love, Traditional Values and Spiritual Growth","Psychology,Spirituality"
9,When Breath Becomes Air,"Memoir,Nonfiction,Biography"
10,The Blank Slate: The Modern Denial of Human Nature,Psychology
11,"A Thousand Recipes for Revenge (Chefs of the Five Gods, #1)",Fantasy
12,Book Love,Comics
13,Ward D,"Horror,Suspense,Fiction,Crime,Thriller"
14,The Bluest Eye,Classics
15,The Extraordinary Life of an Ordinary Man: A Memoir,"Nonfiction,Biography"
16,Whisperwood,Horror
17,The Philosophy of Modern Song,"Poetry,Art"
18,"The Record Keeper (Murphy Shepherd, #3)","Spirituality,Christian"
19,Blue Skies,Science
20,I Have Some Questions for You,"Suspense,Contemporary,Thriller"
21,"Dark Lover (Black Dagger Brotherhood, #1)",Paranormal
22,"Shadow and Bone (The Shadow and Bone Trilogy, #1)","Fantasy,Young Adult"
23,The Portable Atheist: Essential Readings for the Nonbeliever,Religion
24,"My Sister, the Serial Killer","Crime,Mystery"
25,"WOLFPACK: How to Come Together, Unleash Our Power, and Change the Game",Business
26,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",Fantasy
27,Inseparable,"Classics,Philosophy"
28,The Paris Deception,Art
29,The War on the West,Religion
30,People We Meet on Vacation,"Contemporary,Romance,Travel,Chick Lit"
31,ELP,Crime
32,Made for Us (Made For #3),"Sports,Humor"
33,Friday Night Lights,Sports
34,"The Devil Gets His Due (The Devils, #4)",Humor
35,The Vanishing of Margaret Small,Historical Fiction
36,"Gigi, Listening",Travel
37,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)","Science Fiction,Humor"
38,This One Summer,Graphic Novels
39,Washington: A Life,Biography
40,The War of the Worlds,Science Fiction
41,The Grimoire of Grave Fates,"Horror,LGBT,Young Adult"
42,Spells for Forgetting,Paranormal
43,"Scott Pilgrim vs. The World (Scott Pilgrim, #2)",Comics
44,Nat Enough (Nat Enough #1),Art
45,Vanderbilt: The Rise and Fall of an American Dynasty,"History,Memoir,Nonfiction,Biography"
46,"How It Unfolds (The Far Reaches, #1)","Fiction,Science Fiction"
47,Medusa,"Fantasy,Historical Fiction,Graphic Novels"
48,"The Savory Baker: 150 Creative Recipes, from Classic to Modern",Cookbooks
49,The Secret Garden,"Classics,Childrens"
50,"Shanghai Immortal (Shanghai Immortal, #1)","Fantasy,Historical Fiction"
51,Clarity &amp; Connection,"Philosophy,Spirituality"
52,With a Kiss We Die,"Suspense,Thriller"
53,Maame,Contemporary
54,Local Woman Missing,"Crime,Thriller"
55,Chasing Harry Winston,Chick Lit
56,The Book Thief,"Fiction,Historical Fiction,Young Adult"
57,What Happens After Midnight,"Romance,Chick Lit"
58,The Art Book,Art
59,"Yesterday&#39;s Treasures (Blueberry Beach, #1)",Christian
60,"The Duchess Effect (American Royalty, #2)",Contemporary
