,Title,Author,Score,Ratings,Published
0,The Rabbit Hutch,Tess Gunty,3.58,16471,2022
1,Paris: The Memoir,Paris Hilton,4.24,18905,2023
2,Fearless (Ben Koenig #1),M.W. Craven,4.24,638,2023
3,Forever Home,Graham Norton,3.94,7877,2022
4,Double-Decker Dreams,Lindsay MacMillan,3.05,367,2023
5,We Were Liars,E. Lockhart,3.69,1064445,2014
6,Measure What Matters,John Doerr,3.99,29632,2017
7,The Confession (Eden Falls Academy #5),Judy Corry,4.47,121,2023
8,One Tough Cookie,Delise Torres,3.31,99,2023
9,Try Not to Breathe,David      Bell,3.68,198,2023
10,Monsters: A Fan&#39;s Dilemma,Claire Dederer,3.95,2900,2023
11,"Legendary (Caraval, #2)",Stephanie Garber,4.2,177622,2018
12,"White Sand, Volume 2 (White Sand, #2)",Brandon Sanderson,3.54,8992,2018
13,"A Pessimist&#39;s Guide to Love (Heartsong, #2)",Jennifer Hartmann,4.04,5624,2023
14,Leadership : Six Studies in World Strategy,Henry Kissinger,4.22,1198,2022
15,The Paper Palace,Miranda Cowley Heller,3.84,278661,2021
16,The Night Circus,Erin Morgenstern,4.02,915696,2011
17,Chłopcy. Idą po Polskę,Marcin Kącki,3.6,67,2023
18,The Secret Garden,Frances Hodgson Burnett,4.15,1114563,1911
19,Politics,Aristotle,3.98,37719,-350
20,"Second Foundation (Foundation, #3)",Isaac Asimov,4.27,176565,1953
21,Wannabe: Reckonings with the Pop Culture That Shapes Me,Aisha Harris,3.88,414,2023
22,"The Savory Baker: 150 Creative Recipes, from Classic to Modern",America\'s Test Kitchen,4.14,147,2022
23,The Silent Patient,Alex Michaelides,4.18,1684972,2019
24,"Nana, Vol. 1",Ai Yazawa,4.32,50896,2000
25,Maddalena and the Dark,Julia Fine,3.62,430,2023
26,The Lovely Bones,Alice Sebold,3.85,2287013,2002
27,The Quarry Girls,Jess Lourey,4.08,58377,2022
28,The Undomestic Goddess,Sophie Kinsella,3.85,289566,2005
29,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,1109644,2012
30,"呪術廻戦 19 (Jujutsu Kaisen, #19)",Gege Akutami,4.44,4222,2022
31,No One Is Too Small to Make a Difference,Greta Thunberg,3.87,25040,2019
32,I Will Judge You by Your Bookshelf,Grant Snider,3.74,17986,2020
33,The Gulf,Rachel Cochran,3.56,159,2023
34,Ascendance of a Bookworm: Part 5 Volume 5,Miya Kazuki,4.73,353,2021
35,"The 143-Story Treehouse: Camping Trip Chaos! (The Treehouse Books, 11)",Andy Griffiths,4.39,873,2021
36,Fingersmith,Sarah Waters,4.02,101938,2002
37,"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,588296,2009
38,My Husband,Maud Ventura,3.75,2169,2021
39,The Five Wishes of Mr. Murray McBride,Joe Siple,4.64,13925,2018
40,Paper Towns,John Green,3.72,1282345,2008
41,Rock Bottom Girl,Lucy Score,4.32,31516,2019
42,El favor (Serie Dave Gurney 8) (Spanish Edition),John Verdon,3.94,216,2023
43,Quit: The Power of Knowing When to Walk Away,Annie Duke,4.23,2618,2022
44,V for Vendetta,Alan Moore,4.26,302077,1990
45,"Persephone (Into Shadow, #2)",Lev Grossman,3.12,2890,2022
46,Batman: Gotham Knights - Gilded City,Evan Narcisse,3.24,29,2023
47,Jeg anerkender ikke længere jeres autoritet,Glenn Bech,4.36,1671,2022
48,No Exit,Taylor  Adams,4.02,135601,2018
49,"Will Grayson, Will Grayson",John Green,3.71,389480,2010
50,Stumbling on Happiness,Daniel Todd Gilbert,3.82,60250,2006
51,Slaying the Shadow Prince,Helen Scheuerer,3.98,491,2023
52,"Vampire Knight, Vol. 1 (Vampire Knight, #1)",Matsuri Hino,4.08,126097,2005
53,Best of Friends,Kamila Shamsie,3.49,5190,2022
54,The Girls on Chalk Hill (Detective Lexi Bennett #1),Alison Belsham,4.31,278,2023
55,The New Drawing on the Right Side of the Brain,Betty Edwards,3.88,345208,1979
56,The Goddess of Magic (Elementals Academy #4),Michelle Madow,4.5,1003,2022
57,"Mile High (Windy City, #1)",Liz Tomforde,4.21,101729,2022
58,Indigo Isle,T.I. Lowe,4.47,474,2023
59,Twenties Girl,Sophie Kinsella,3.85,165378,2009
60,Batman - One Bad Day: The Riddler,Tom King,4.11,854,2023
