Rank,Title,Num_volumes,Published_through,Num_members,page_url,image_url,Score
1,Berserk,Manga (? vols),Aug 1989 -,"633,802 members",https://myanimelist.net/manga/2/Berserk,https://cdn.myanimelist.net/r/100x140/images/manga/1/157897.jpg?s=89f4db27210a934c566d75a6163c5530,9.47
2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga (24 vols),Jan 2004 - Apr 2011,"244,722 members",https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,https://cdn.myanimelist.net/r/100x140/images/manga/3/179882.jpg?s=aa3e372a5bc396c24cfe9b191e765fa7,9.30
3,Vagabond,Manga (37 vols),Sep 1998 - May 2015,"342,394 members",https://myanimelist.net/manga/656/Vagabond,https://cdn.myanimelist.net/r/100x140/images/manga/1/259070.jpg?s=f973f0a07bd37e45f63d71ab122a8c6e,9.23
4,One Piece,Manga (? vols),Jul 1997 -,"570,369 members",https://myanimelist.net/manga/13/One_Piece,https://cdn.myanimelist.net/r/100x140/images/manga/2/253146.jpg?s=b7465f50607202245754c4a8ab34be52,9.21
5,Monster,Manga (18 vols),Dec 1994 - Dec 2001,"224,582 members",https://myanimelist.net/manga/1/Monster,https://cdn.myanimelist.net/r/100x140/images/manga/3/258224.jpg?s=097b790c0519007140b374e9a9a4706f,9.15
6,Slam Dunk,Manga (31 vols),Sep 1990 - Jun 1996,"154,932 members",https://myanimelist.net/manga/51/Slam_Dunk,https://cdn.myanimelist.net/r/100x140/images/manga/2/258749.jpg?s=2e008592f97e2dd216ad2e96db57d274,9.08
7,Fullmetal Alchemist,Manga (27 vols),Jul 2001 - Sep 2010,"282,020 members",https://myanimelist.net/manga/25/Fullmetal_Alchemist,https://cdn.myanimelist.net/r/100x140/images/manga/3/243675.jpg?s=d088ec2e61cab754febb6bcf872c0f73,9.04
8,Vinland Saga,Manga (? vols),Apr 2005 -,"276,621 members",https://myanimelist.net/manga/642/Vinland_Saga,https://cdn.myanimelist.net/r/100x140/images/manga/2/188925.jpg?s=a2df0a0c933caf33570baebc02721284,9.04
9,Grand Blue,Manga (? vols),Apr 2014 -,"165,738 members",https://myanimelist.net/manga/70345/Grand_Blue,https://cdn.myanimelist.net/r/100x140/images/manga/2/166124.jpg?s=301c4f4a748279a248049f8913c213f2,9.03
10,Oyasumi Punpun,Manga (13 vols),Mar 2007 - Nov 2013,"407,446 members",https://myanimelist.net/manga/4632/Oyasumi_Punpun,https://cdn.myanimelist.net/r/100x140/images/manga/3/266834.jpg?s=a939a3b4e6fb30915f903f0a75f481ab,9.02
11,Kingdom,Manga (? vols),Jan 2006 -,"158,854 members",https://myanimelist.net/manga/16765/Kingdom,https://cdn.myanimelist.net/r/100x140/images/manga/2/171872.jpg?s=c2ed9be872ba3426953a513a35f52a7d,9.00
12,Houseki no Kuni,Manga (? vols),Oct 2012 -,"115,442 members",https://myanimelist.net/manga/44489/Houseki_no_Kuni,https://cdn.myanimelist.net/r/100x140/images/manga/1/115443.jpg?s=84fd9d5366ea590411d68fd629a03999,8.96
13,20th Century Boys,Manga (22 vols),Sep 1999 - Apr 2006,"232,160 members",https://myanimelist.net/manga/3/20th_Century_Boys,https://cdn.myanimelist.net/r/100x140/images/manga/5/260006.jpg?s=eafcd1c26c3ba99b451888d04db02733,8.95
14,Ashita no Joe,Manga (20 vols),Jan 1968 - May 1973,"47,970 members",https://myanimelist.net/manga/1303/Ashita_no_Joe,https://cdn.myanimelist.net/r/100x140/images/manga/1/268827.jpg?s=eb223f4c0d1a432bb00bba1636b86135,8.94
15,Monogatari Series: First Season,Light Novel (6 vols),Nov 2006 - Jul 2010,"56,100 members",https://myanimelist.net/manga/14893/Monogatari_Series__First_Season,https://cdn.myanimelist.net/r/100x140/images/manga/2/279887.jpg?s=e4b03fd6ae08f591ea70672da7ea3034,8.93
16,Mikkakan no Koufuku,Novel (1 vols),Dec 2013 - Dec 2013,"23,476 members",https://myanimelist.net/manga/126479/Mikkakan_no_Koufuku,https://cdn.myanimelist.net/r/100x140/images/manga/3/248674.jpg?s=8906356663b1d4bac9c708b903a4fe2b,8.93
17,Real,Manga (? vols),Oct 1999 -,"78,575 members",https://myanimelist.net/manga/657/Real,https://cdn.myanimelist.net/r/100x140/images/manga/2/115969.jpg?s=16bc5b674e7cfe7f84ac31e3711fb924,8.92
18,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Manga (28 vols),May 2015 - Nov 2022,"253,462 members",https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/100x140/images/manga/3/188896.jpg?s=7cb1f2e1b361ac3628b5ba41f9b25a31,8.92
19,Monogatari Series: Second Season,Light Novel (6 vols),Oct 2010 - Dec 2011,"21,638 members",https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,https://cdn.myanimelist.net/r/100x140/images/manga/2/181553.jpg?s=d50379d9efb7434e73e848cc9fa66839,8.91
20,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Light Novel (14 vols),May 2015 - Sep 2019,"78,840 members",https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,https://cdn.myanimelist.net/r/100x140/images/manga/2/177958.jpg?s=7420db2ec7fa7b37606f39518fe4c6c5,8.89
21,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Light Novel (? vols),Jan 2020 -,"32,010 members",https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen,https://cdn.myanimelist.net/r/100x140/images/manga/3/235363.jpg?s=5814b2d8ef8de30fe8b40be03065aeab,8.89
