,Title,Description
0,"Midnight Sun (The Twilight Saga, #5)","When Edward Cullen and Bella Swan met in Twilight, an iconic love story was born. But until now, fans have heard only Bella\'s side of the story. At last, readers can experience Edward\'s version in the long-awaited companion novel, Midnight Sun.\n\nThis unforgettable tale as told through Edward\'s eyes takes on a new and decidedly dark twist. Meeting Bella is both the most unnerving and intriguing event he has experienced in all his years as a vampire. As we learn more fascinating details about Edward\'s past and the complexity of his inner thoughts, we understand why this is the defining struggle of his life. How can he justify following his heart if it means leading Bella into danger?"
1,Out of the Corner,"A deeply candid and refreshingly spirited memoir of identity lost and found from the star of the iconic film Dirty Dancing\n\n\nIn this beautiful, close-to-the bone account, Jennifer Grey takes readers on a vivid tour of the experiences that have shaped her, from her childhood as the daughter of Broadway and film legend Joel Grey, to the surprise hit with Patrick Swayze that made her America\'s sweetheart, to her inspiring season eleven win on ABC\'s Dancing with the Stars.\n\nThroughout this intimate narrative, Grey richly evokes places and times that were defining for a generation--from her preteen days in 1970s Malibu and wild child nights in New York\'s club scene, to her roles in quintessential movies of the 1980s, including The Cotton Club, Red Dawn,  and her breakout performance in Ferris Bueller\'s Day Off. With self-deprecating humor and frankness, she looks back on her unbridled, romantic adventures in Hollywood. And with enormous bravery, she shares the devastating fallout from a plastic surgery procedure that caused the sudden and stunning loss of her professional identity and career. Grey inspires with her hard-won battle back, reclaiming her sense of self from a culture and business that can impose a narrow and unforgiving definition of female worth. She finds, at last, her own true north and starts a family of her own, just in the nick of time.\n\nDistinctive, moving, and powerful, told with generosity and pluck, Out of the Corner is a memoir about a never-ending personal evolution, a coming-of-age story for women of every age."
2,Fangs,"A love story between a vampire and a werewolf by the creator of the enormously popular Sarah\'s Scribbles comics.\n\nElsie the vampire is three hundred years old, but in all that time, she has never met her match. This all changes one night in a bar when she meets Jimmy, a charming werewolf with a wry sense of humor and a fondness for running wild during the full moon. Together they enjoy horror films and scary novels, shady strolls, fine dining (though never with garlic), and a genuine fondness for each other’s unusual habits, macabre lifestyles, and monstrous appetites. \n\nFirst featured as a webcomic series on Tapas, Fangs chronicles the humor, sweetness, and awkwardness of meeting someone perfectly suited to you but also vastly different. Filled with Sarah Andersen’s beautiful gothic illustrations and relatable relationship humor, Fangs has all the makings of a cult classic."
3,You Can Trust Me,"For two happy couples, the cruise of a lifetime may cost their lives.\n\nMae Barlowe’s annual beach trip is anything but a vacation.\nIt’s the anniversary of the worst day of her life.\n\nWhen her husband and best friend surprise her with a last-minute itinerary change in the form of a couples’ cruise, she struggles to hide her reservations about the new plan.\nA week spent cruising around in a tropical paradise sounds like a dream come true to everyone else, but for Mae, it’s an eerie reminder of chilling memories from her past.\n\nOnce on board the ship, a mysterious stranger causes confusion among the group, leading them to ask unsettling questions of one another.\nBefore they can get real answers, tragedy strikes.\nTrapped on the vessel as it ventures toward their first destination, the friends struggle to come to grips with their new reality.\n\nHow do they stay safe when danger seems to be lurking around every corner?\nWho can be trusted when nothing is quite what it seems?\nHow far will they go to protect the ones they love?\n\nSun, sand, and secrets await on this cruise to die for."
4,Authentically Izzy (Skymar #1),"“Dear Izzy—I feel certain there’s a book-loving man living relatively nearby waiting to speak bookish to you ’til death do you part. You just haven’t met yet.” \n\nIzzy Edgewood is a wannabe bookstore owner, quote queen, and Lord of the Rings nerd who has been waiting for Prince Charming to sweep her off her sneakered feet. But it’s hard to meet people when you spend more time with fictional humans than real ones. Which is why her pragmatist cousin Josephine decides to take Izzy’s future into her own meddling hands and create an online dating profile for the hopeful romantic.\n\nTo Izzy’s shock (and suspicion), Josie’s plan works. Soon, she’s dialoguing with a Hobbit-loving man named Brodie who lives in a small town an ocean away from her home in the Blue Ridge Mountains. But is their shared love of books, family, and correspondence enough to overcome Izzy’s fear of flying and the literal distance between them? And is a long-distance relationship even worth considering when a local author has been frequenting the library where she works and is proving to be a perfectly fine gentleman?\n\nIn this epistolary novel from award-winning author Pepper Basham, bookish dreams and happily-ever-afters collide to create a beautiful sort of magic that’s even better than fiction."
5,Het plan,"Het plan geeft de lezer een ongekende blik achter de schermen bij een van de beste sportploegen ter wielerploeg Jumbo-Visma.\n\nOp 24 juli 2022 zette de Nederlandse wielerploeg Team Jumbo-Visma de kroon op het werk toen Jonas Vingegaard als winnaar van de Tour de France Parijs binnenreed. Het was het gedroomde eindresultaat van een traject dat direct bij de oprichting van het team in 2013 in gang was gezet.\n\nIn de drie jaar voorafgaand aan de Tourwinst verbleef schrijver Nando Boers dicht bij Team Jumbo-Visma. Hij mocht als fly-on-the-wall overal bij aanwezig zijn en zag zo van nabij hoe de tactische raceplannen van de wielerploeg werden gevormd en uitgevoerd. Boers sprak in die drie jaar de renners en coaches veelvuldig tijdens wedstrijden en trainingskampen. Hij keek rond bij windtunneltesten en luisterde mee met onlinevergaderingen waarin coaches en wetenschappers discussieerden over tactiek, teamgeest, voeding, trainingsmethodes en talentontwikkeling. Ook mocht hij aanschuiven bij meetings waar de vooruitgang en de worstelingen van toprenners als Primož Roglic, Tom Dumoulin, Wout van Aert, Steven Kruijswijk en Jonas Vingegaard werden besproken."
6,Kala,"A gripping literary page-turner from a rising Irish talent in which former friends, estranged for twenty years, reckon with the terrifying events of the summer that changed their lives.\n\nIn the seaside village of Kinlough, on Ireland’s west coast, three old friends meet for the first time in years. They—Helen, Joe and Mush—were part of an original group of six inseparable teenagers in the summer of 2003, with motherless, reckless Kala Lanann at its white-hot center. But later that year, Kala disappeared without a trace. Now remains have been discovered in the woods—including a skull with a Polaroid photo tucked inside—and the town is both aghast and titillated at reopening this old wound.\n\nOn the eve of this gruesome discovery, Helen had reluctantly returned for her father’s wedding, the world-famous musician Joe had come home to dry out and reconnect with something authentic, and Mush had never left, too shattered by the events of that summer to venture beyond the counter of his mother’s café. But when two more girls go missing, they are forced to confront their own complicity in the events that led to Kala’s disappearance. Ultimately, they must do what others should have done before to stop the violent patterns of their town’s past repeating themselves once again.\n\nIn cracklingly vivid prose, Kala brilliantly examines the sometimes brutal costs of belonging, as well as the battle in the human heart between vengeance and forgiveness, despair and redemption."
7,"The Rebound (Looking to Score, #4)","A smokin\' hot new standalone romance from New York Times bestseller, Kendall Ryan.\n\nPrice St. James, hockey’s favorite bad boy needs to clean up his image—or face suspension. \n\nWhat could be more wholesome than helping his new neighbor Kinley? She\'s beautiful, funny and newly single. (Score!)\n\nThere’s just one problem. She’s also the team captain’s sister.\n\nThere are rules about this kind of thing. \n\nBut rules were made to be broken…\n\nContents include: A dreamy AF hero, a bad boy trying to be good, a good girl who likes him naughty, oh, and a bun in the oven."
8,Confessions of an Alleged Good Girl,"The second novel about a preacher\'s daughter in small-town Texas and her journey toward loving herself and her body.\n\nMonique is a preacher\'s daughter who detests the impossible rules of her religion. Everyone expects her to wait until marriage, so she has no one to turn to when she discovers that she physically can\'t have sex.\n\nAfter two years of trying and failing, her boyfriend breaks up with her. To win him back, Monique teams up with straight-laced church girl Sasha--who is surprisingly knowledgeable about Monique\'s condition--as well as Reggie, the misunderstood bad boy who always makes a ruckus at church, and together they embark upon a top-secret search for the cure.\n\nWhile on their quest, Monique discovers the value of a true friend and the wonders of a love that accepts her for who she is. Despite everyone\'s opinions about her virtue, she learns to live for herself."
9,Everything Happens for a Reason: And Other Lies I&#39;ve Loved,"A divinity professor and young mother with a Stage IV cancer diagnosis explores the pain and joy of living without certainty.\n\nThirty-five-year-old Kate Bowler was a professor at the school of divinity at Duke, and had finally had a baby with her childhood sweetheart after years of trying, when she began to feel jabbing pains in her stomach. She lost thirty pounds, chugged antacid, and visited doctors for three months before she was finally diagnosed with Stage IV colon cancer.\n\nAs she navigates the aftermath of her diagnosis, Kate pulls the reader deeply into her life, which is populated with a colorful, often hilarious collection of friends, pastors, parents, and doctors, and shares her laser-sharp reflections on faith, friendship, love, and death. She wonders why suffering makes her feel like a loser and explores the burden of positivity. Trying to relish the time she still has with her son and husband, she realizes she must change her habit of skipping to the end and planning the next move. A historian of the &quot;American prosperity gospel&quot;--the creed of the mega-churches that promises believers a cure for tragedy, if they just want it badly enough--Bowler finds that, in the wake of her diagnosis, she craves these same &quot;outrageous certainties.&quot; She wants to know why it\'s so hard to surrender control over that which you have no control. She contends with the terrifying fact that, even for her husband and child, she is not the lynchpin of existence, and that even without her, life will go on.\n\nOn the page, Kate Bowler is warm, witty, and ruthless, and, like Paul Kalanithi, one of the talented, courageous few who can articulate the grief she feels as she contemplates her own mortality."
10,"You, with a View","Two weeks on the road... stuck in a car with your high-school enemy.Noelle Shepard is grieving the loss of her beloved grandmother when she discovers decades-old photos and letters that hint to a forbidden love in her gram\'s past. Needing to know the full story, she creates a TikTok video appealing for information - and it goes viral.Through her video, she manages to track down her grandmother\'s secret love, Paul, who offers to take her on the honeymoon road-trip he and Gram planned but never got to go on.Noelle jumps at the chance to make this one last connection with her grandmother. There\'s just one problem - Paul\'s grandson is Noelle\'s frustratingly handsome high-school rival Theo.And Theo has to come, too.It\'s only two weeks. Surely Noelle can survive that long? But with one car between them - and often only one bed - it doesn\'t take long for things to heat up..."
