Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Universe
0,Ikonn ,Secret,Neutral,Blue,No,Male,Yes,6,"1981, June",Marvel
1,Carol Ferris ,Public,Neutral,Blue,Black,Female,Yes,319,"1959, October",DC
2,Vincent Edge ,Public,Bad,Brown,White,Male,Yes,16,"1989, September",DC
3,Thomas Adkins ,Public,Bad,Brown,Black,Male,Yes,1,"2002, April",Marvel
4,Razorback ,Secret,Bad,Blue,Black,Male,No,1,"1988, February",DC
5,Carlton Velcro ,Secret,Bad,Brown,Black,Male,Yes,7,"1975, June",Marvel
6,Fern ,Secret,Good,Black,Black,Female,Yes,14,"1985, July",Marvel
7,Bannerman Brown ,Secret,Good,Black,Bald,Male,No,2,"2007, April",Marvel
8,Ormond Wychwood ,Secret,Bad,Blue,Blond,Male,Yes,37,"1992, June",Marvel
9,Evangeline Whedon ,Public,Good,Blue,Black,Female,Yes,18,"2003, April",Marvel
10,Lord of Limbo ,Unknown,Bad,Red,Brown,Male,Yes,2,"1980, April",DC
11,Miguel Santos ,Secret,Good,Brown,Black,Male,Yes,111,"1990, October",Marvel
12,Iuriale ,Secret,Bad,Blue,Red,Female,Yes,2,"1986, April",Marvel
13,Steven Kernahan ,Secret,Bad,Blue,Brown,Male,No,1,"1995, October",DC
14,Nightfist ,Secret,Bad,Black,Black,Male,No,3,"1996, September",DC
15,Agent Orange ,Secret,Bad,Red,Brown,Male,Yes,2,"1983, October",DC
16,Kordazt ,Secret,Bad,Blue,No,Male,No,1,"1978, September",Marvel
17,Shagreen ,Public,Bad,Red,No,Male,Yes,6,"1985, November",Marvel
18,Wes Cassady ,Secret,Good,Brown,Black,Male,Yes,1,"1988, July",Marvel
19,Beatriz da Costa ,Secret,Good,Green,Green,Female,Yes,325,"1982, June",DC
20,Lorne Quickfall ,Secret,Bad,White,Black,Male,No,4,"1992, October",Marvel
21,Roberta Rhodes ,Public,Good,Black,White,Female,Yes,6,"1983, August",Marvel
22,Sharkskin ,Secret,Neutral,Blue,Black,Male,Yes,3,"1989, October",Marvel
23,Ngh ,Public,Bad,Green,Brown,Male,Yes,5,"1990, December",Marvel
24,Aberdeen Angus ,Secret,Neutral,Brown,Brown,Male,Yes,3,"1993, February",Marvel
25,Kevin Krask ,Public,Bad,Red,Black,Male,Yes,4,"1994, December",Marvel
26,Llyra Morris ,Non-dual,Bad,Green,Green,Female,Yes,50,"1970, December",Marvel
27,Driver Reese ,Public,Neutral,Green,Black,Female,No,3,"2011, February",Marvel
28,Lowell Jeffries ,Public,Neutral,Black,Black,Male,Yes,2,"2006, October",DC
29,Isabel Glenn ,Public,Good,Blue,Red,Female,Yes,1,"2010, January",DC
30,Louis Dexter ,Secret,Bad,Brown,Brown,Male,Yes,5,"1994, March",Marvel
31,Screwball ,Secret,Neutral,Blue,Purple,Female,Yes,19,"2008, July",Marvel
32,Seeker ,Public,Neutral,Black,Black,Male,Yes,7,"2011, September",Marvel
33,Grace Choi ,Secret,Good,Brown,Red,Female,Yes,100,"2003, August",DC
34,Ziegler ,Public,Good,Black,Black,Male,Yes,1,"1963, December",Marvel
35,Lasco Vicenti ,Secret,Bad,Blue,Black,Male,Yes,1,"1945, October",Marvel
36,Jaunt ,Secret,Bad,Brown,No,Unknown,No,1,"2000, November",Marvel
37,Noble ,Non-dual,Bad,Orange,Grey,Male,Yes,11,"1998, December",DC
38,Morfex ,Secret,Good,Brown,Bald,Male,Yes,9,"1995, December",Marvel
39,Frank Yarrow ,Secret,Good,Green,Brown,Male,Yes,1,"1956, December",Marvel
40,Horoq Nnot ,Secret,Good,Green,Purple,Female,No,16,"2006, June",DC
